Cama,Especialidade 1,Especialidade 2,Especialidade 3,Especialidade 4,Especialidade 5,Especialidade 6,Especialidade 7,Especialidade 8,Especialidade 9,Especialidade 10,Especialidade 11,Especialidade 12,Especialidade 13,Especialidade 14,Especialidade 15
Cama Repouso 1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Cama Repouso 6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 7,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Cama Repouso 8,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Cama Repouso 9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 12,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Cama Repouso 13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 15,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Cama Repouso 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 17,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 18,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
Cama Repouso 19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Cama Repouso 21,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 22,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Cama Repouso 23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Repouso 24,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
Cama Repouso 25,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
