Cama,Especialidade 1,Especialidade 2,Especialidade 3,Especialidade 4,Especialidade 5,Especialidade 6,Especialidade 7,Especialidade 8,Especialidade 9,Especialidade 10,Especialidade 11,Especialidade 12,Especialidade 13,Especialidade 14,Especialidade 15
Cama Pos Operatoria 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Pos Operatoria 2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Cama Pos Operatoria 3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Cama Pos Operatoria 4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Cama Pos Operatoria 5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cama Pos Operatoria 6,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Cama Pos Operatoria 7,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
Cama Pos Operatoria 8,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Cama Pos Operatoria 9,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
Cama Pos Operatoria 10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Cama Pos Operatoria 11,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
Cama Pos Operatoria 12,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Cama Pos Operatoria 13,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
Cama Pos Operatoria 14,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Cama Pos Operatoria 15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
